term,department,course,section,class_number,mode_of_instruction,course_title,satisfies,units,class_type,days,times,instructor,location,dates,open_seats,notes
,SOCI,181B,80,28005,Fully Online,Sociology Career Capstone,,3,LEC,TBA,TBA,Faustina Ducros,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,181B,81,29901,Fully Online,Sociology Career Capstone,,3,LEC,TBA,TBA,Faustina Ducros,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,193,80,29238,Fully Online,Behavioral Science in Practice,,3,LEC,MW,04:30PM-05:45PM,Danae Khorasani,ONLINE,01/24/24-05/13/24,35,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,199H,80,20498,Fully Online,Senior Honors Project,,3,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,2,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,199H,81,20499,Fully Online,Senior Honors Project,,3,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,2,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCS,15,01,29179,In Person,Statistical Applications in the Social Sciences,GE: B4,3,LEC,M,06:00PM-08:45PM,Jose Bautista,DMH231,01/24/24-05/13/24,30,PV - Prerequisite courses required. See course description.
,SOCS,137,01,27018,In Person,California History for Teachers,,3,LEC,MW,09:00AM-10:15AM,Wendy Rouse,DMH167,01/24/24-05/13/24,6,
,SOCS,137,02,27019,In Person,California History for Teachers,,3,LEC,MW,10:30AM-11:45AM,Wendy Rouse,DMH167,01/24/24-05/13/24,11,
,SOCS,138,01,23682,In Person,US History for Teachers,GE: S,3,LEC,M,06:00PM-08:45PM,Bonnie Belshe,DMH167,01/24/24-05/13/24,9,
,SOCS,138,02,25076,In Person,US History for Teachers,GE: S,3,LEC,T,06:00PM-08:45PM,Bonnie Belshe,DMH354,01/24/24-05/13/24,8,
,SOCS,139,01,23683,In Person,World History for Teachers,GE: V,3,LEC,T,06:00PM-08:45PM,Jane Narveson,DMH163,01/24/24-05/13/24,0,
,SOCS,139,02,23684,In Person,World History for Teachers,GE: V,3,LEC,R,06:00PM-08:45PM,Jane Narveson,DMH163,01/24/24-05/13/24,9,
,SOCS,185,01,29230,In Person,Teaching in a Diverse Society,,3,LEC,T,03:00PM-05:45PM,Marcos Pizarro,DMH357,01/24/24-05/13/24,26,
,SPAN,1A,01,21831,In Person,Elementary Spanish,GE: C2,4,LEC,MW,08:30AM-10:10AM,José García Buenrostro,BBC203,01/24/24-05/13/24,0,
,SPAN,1A,02,21704,In Person,Elementary Spanish,GE: C2,4,LEC,MW,03:00PM-04:40PM,José García Buenrostro,BBC203,01/24/24-05/13/24,0,
,SPAN,1A,03,21705,In Person,Elementary Spanish,GE: C2,4,LEC,TR,03:00PM-04:40PM,Alejandra Campos,SH240,01/24/24-05/13/24,0,
,SPAN,1A,80,21706,Fully Online,Elementary Spanish,GE: C2,4,LEC,TR,08:30AM-10:10AM,Eleanor Marsh,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,1A,81,21707,Fully Online,Elementary Spanish,GE: C2,4,LEC,TR,03:00PM-04:40PM,Eleanor Marsh,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,1A,82,28279,Fully Online,Elementary Spanish,GE: C2,4,LEC,TBA,TBA,Teresa Estrabao,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,1B,01,21832,In Person,Elementary Spanish,GE: C2,4,LEC,MW,08:30AM-10:10AM,Raquel Rodriguez,CL206,01/24/24-05/13/24,21,
,SPAN,1B,80,24859,Fully Online,Elementary Spanish,GE: C2,4,LEC,MW,03:00PM-04:40PM,Eleanor Marsh,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,1B,81,28280,Fully Online,Elementary Spanish,GE: C2,4,LEC,TBA,TBA,Raquel Rodriguez,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,3,80,24875,Fully Online,Special Topics in Practical Spanish,,4,LEC,TBA,TBA,Francisco De La Calle,ONLINE,01/24/24-05/13/24,17,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,4A,80,21711,Fully Online,Basic Spanish I,,4,LEC,TBA,TBA,Aurelio Dias Ferreira,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,4B,80,21712,Fully Online,Basic Spanish II,,4,LEC,TBA,TBA,Aurelio Dias Ferreira,ONLINE,01/24/24-05/13/24,6,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,20A,01,23815,In Person,Spanish for Heritage Speakers I,GE: C2,4,LEC,TR,08:30AM-10:10AM,Angel Ruiz Blanco,BBC222,01/24/24-05/13/24,3,
,SPAN,20B,01,28282,In Person,Spanish for Heritage Speakers II,GE: C2,4,LEC,MW,10:30AM-12:10PM,Raquel Rodriguez,DBH225,01/24/24-05/13/24,22,
,SPAN,25B,01,21714,In Person,Intermediate Spanish,GE: C2,4,LEC,TR,12:00PM-01:40PM,Alejandra Campos,BBC203,01/24/24-05/13/24,21,
,SPAN,101A,80,24860,Fully Online,Advanced Spanish,,4,SEM,TBA,TBA,Teresa Estrabao,ONLINE,01/24/24-05/13/24,18,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,101B,80,24863,Fully Online,Advanced Spanish,,4,SEM,TBA,TBA,Teresa Estrabao,ONLINE,01/24/24-05/13/24,18,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,102A,01,28290,Hybrid,Spanish Culture,,4,LEC,MW  TBA,MW  10:30AM-11:45AM   TBA  TBA,Francisco De La Calle / Francisco De La Calle,HGH227,01/24/24-05/13/24,15,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.
,SPAN,102B,01,22216,In Person,Hispanic American Culture,GE: V,3,SEM,MW,09:00AM-10:15AM,Teresa Estrabao,HB405,01/24/24-05/13/24,13,
,SPAN,102B,02,28805,In Person,Hispanic American Culture,GE: V,3,SEM,MW,12:00PM-01:15PM,Francisco De La Calle,CL243,01/24/24-05/13/24,9,
,SPAN,105,80,28286,Fully Online,Spanish Phonology,,4,LEC,TBA,TBA,Avizia Long,ONLINE,01/24/24-05/13/24,11,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,120B,80,28288,Fully Online,Spanish Literature II,,4,LEC,TBA,TBA,Vanessa Fernandez,ONLINE,01/24/24-05/13/24,11,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,170,80,22496,Fully Online,Spanish Translation: Theory and Practice,,4,LEC,TR,04:30PM-06:10PM,Angel Ruiz Blanco,ONLINE,01/24/24-05/13/24,22,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,202,01,28283,In Person,Seminar in Hispanic Civilization and Culture,,4,SEM,W  TBA,W  06:00PM-08:45PM   TBA  TBA,Cheyla Samuelson / Cheyla Samuelson,CL218,01/24/24-05/13/24,0,
,SPAN,270,80,26702,Fully Online,Seminar in Contemporary Literature of Spain and Spanish America,,4,SEM,TBA  TBA,TBA  TBA   TBA  TBA,Vanessa Fernandez,ONLINE  ONLINE,01/24/24-05/13/24,18,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,298,80,26616,Fully Online,Special Study,,1,SUP,TBA,TBA,Cheyla Samuelson,ONLINE,01/24/24-05/13/24,8,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SPAN,298,82,26755,Fully Online,Special Study,,4,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,10,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SSED,184Y,01,26388,In Person,Student Teaching II - Classroom Teaching,,4,SUP,R  TBA,R  04:30PM-06:30PM   TBA  TBA,Wendy Thowdis,CL216,01/24/24-05/13/24,21,RA - Requires consent of instructor.  RO - Not available to Open University students.
,SSED,184Z,80,26389,Fully Online,Student Teaching III - Classroom Teaching,,4,SUP,TBA,TBA,Wendy Thowdis / Rosaleen Zisch,ONLINE,01/24/24-05/13/24,18,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,STAT,95,01,21019,In Person,Elementary Statistics,GE: B4,3,LEC,TR,09:00AM-10:15AM,Trevor Basil,CL117,01/24/24-05/13/24,0,IC - See course description for requirements.
,STAT,95,02,21020,In Person,Elementary Statistics,GE: B4,3,LEC,F,09:30AM-12:15PM,Trevor Basil,CL117,01/24/24-05/13/24,16,IC - See course description for requirements.
,STAT,95,04,27869,In Person,Elementary Statistics,GE: B4,3,LEC,TR,03:00PM-04:15PM,Maipeng Wei,CL117,01/24/24-05/13/24,6,IC - See course description for requirements.
,STAT,95,05,26340,In Person,Elementary Statistics,GE: B4,3,LEC,MW,01:30PM-02:45PM,Ginevra Scherini,DMH355,01/24/24-05/13/24,0,IC - See course description for requirements.
,STAT,95,06,26812,In Person,Elementary Statistics,GE: B4,3,LEC,MW,12:00PM-01:15PM,Howard Tokunaga,YUH124,01/24/24-05/13/24,1,IC - See course description for requirements.
,STAT,95,80,23178,Fully Online,Elementary Statistics,GE: B4,3,LEC,TBA,TBA,David Schuster,ONLINE,01/24/24-05/13/24,2,IC - See course description for requirements.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,STAT,95,81,23644,Fully Online,Elementary Statistics,GE: B4,3,LEC,T  TBA,T  07:00PM-08:15PM   TBA  TBA,Ravneet Tiwana,ONLINE  ONLINE,01/24/24-05/13/24,4,IC - See course description for requirements.  FULLY ONLINE - 2 meeting patterns: (1) designated online with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,STAT,95,82,27875,Fully Online,Elementary Statistics,GE: B4,3,LEC,TBA,TBA,Nick Bathurst,ONLINE,01/24/24-05/13/24,0,IC - See course description for requirements.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,STAT,95,83,21021,Fully Online,Elementary Statistics,GE: B4,3,LEC,TR,10:30AM-11:45AM,Gregory Savage,ONLINE,01/24/24-05/13/24,8,IC - See course description for requirements.  FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus
,STAT,115,01,20914,In Person,Intermediate Statistics,,3,LEC,MW,12:00PM-01:15PM,Megumi Hosoda,DMH353,01/24/24-05/13/24,0,IC - See course description for requirements.
,STAT,115,02,23181,In Person,Intermediate Statistics,,3,LEC,MW,03:00PM-04:15PM,Megumi Hosoda,DMH356,01/24/24-05/13/24,13,IC - See course description for requirements.
,STAT,235,01,23193,In Person,Multivariate Analysis,,3,SEM,R,01:30PM-04:15PM,Gregory Feist,DMH359,01/24/24-05/13/24,0,IC - See course description for requirements.  RO - Not available to Open University students.
,STAT,235,02,23899,In Person,Multivariate Analysis,,3,SEM,MW,03:00PM-04:15PM,Howard Tokunaga,DMH308,01/24/24-05/13/24,2,IC - See course description for requirements.  RO - Not available to Open University students.
,TA,5,02,27234,In Person,Acting,GE: C1,3,LEC,MW,10:30AM-11:45AM,Johnny Moreno,HGH226,01/24/24-05/13/24,0,RL - Open to non majors.
,TA,5,03,27235,In Person,Acting,GE: C1,3,LEC,MW,12:00PM-01:15PM,Teresa Veramendi,HGH226,01/24/24-05/13/24,5,RL - Open to non majors.
,TA,5,04,27236,In Person,Acting,GE: C1,3,LEC,MW,01:30PM-02:45PM,Kimberly Piet,HGH226,01/24/24-05/13/24,11,RL - Open to non majors.
,TA,5,08,27240,In Person,Acting,GE: C1,3,LEC,TR,10:30AM-11:45AM,Sarah Kate Anderson,HGH226,01/24/24-05/13/24,0,RL - Open to non majors.
,TA,5,09,27241,In Person,Acting,GE: C1,3,LEC,TR,12:00PM-01:15PM,Sarah Kate Anderson,HGH226,01/24/24-05/13/24,0,RL - Open to non majors.
,TA,5,11,27243,In Person,Acting,GE: C1,3,LEC,TR,03:00PM-04:15PM,Kathleen Normington,HGH226,01/24/24-05/13/24,8,RL - Open to non majors.
,TA,5,12,27244,In Person,Acting,GE: C1,3,LEC,F,09:00AM-11:45AM,Johnny Moreno,HGH226,01/24/24-05/13/24,14,RL - Open to non majors.
,TA,5,13,27245,In Person,Acting,GE: C1,3,LEC,F,12:00PM-02:45PM,Johnny Moreno,HGH226,01/24/24-05/13/24,3,RL - Open to non majors.
,TA,10,02,27256,In Person,Theatre Appreciation,GE: C1,3,LEC,MW,10:30AM-11:45AM,Scott Cummins,HGH103,01/24/24-05/13/24,19,RL - Open to non majors.
,TA,10,80,27257,Fully Online,Theatre Appreciation,GE: C1,3,LEC,TBA,TBA,Nancy Carlin,ONLINE,01/24/24-05/13/24,0,RL - Open to non majors.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,TA,10,81,27258,Fully Online,Theatre Appreciation,GE: C1,3,LEC,TBA,TBA,Nancy Carlin,ONLINE,01/24/24-05/13/24,0,RL - Open to non majors.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
